Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644bf144f3b7b639b2ac53e1,5947f37ff154200001b51473,APPROVED,2023-04-28T16:16:07.566000Z,2023-04-28T16:24:00.245000Z,2023-04-28T18:13:34.585000,2023-04-28T16:24:00.586888Z,473,NOCODE,1484,English,27,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
644bf22d8ab2a93ca0d10074,5ea7b7db3021ac19f4c60770,APPROVED,2023-04-28T16:20:02.031000Z,2023-04-28T16:38:57.965000Z,2023-04-28T18:13:55.284000,2023-04-28T16:38:58.806780Z,1136,NOCODE,1086,English,59,Male,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
644bf35324486839786c7310,615defb34adf2f2e2e4bc539,APPROVED,2023-04-28T16:24:56.488000Z,2023-04-28T16:32:32.272000Z,2023-04-28T18:13:42.146000,2023-04-28T16:32:38.541305Z,456,NOCODE,79,English,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
644bf390eb2985d3c0c02dfb,63f77d4f671167ec16eee15c,APPROVED,2023-04-28T16:25:55.449000Z,2023-04-28T18:14:43.296000Z,2023-04-29T15:40:32.025000Z,,6528,Manual Completion,230,English,18,Female,Asian,United States,United States,United States,English,Yes,Part-Time
644bf391d4af4044a0703923,632bfca8a1b8f79e499a35d9,APPROVED,2023-04-28T16:25:56.734000Z,2023-04-28T16:33:41.826000Z,2023-04-28T18:13:50.433000,2023-04-28T16:33:42.266161Z,466,"Error occurred with following message Sorry, an unexpected error occurred. B.4ktag4hd.lh0rv8fz",248,"Chinese, English",35,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644bf4046f2a940d23860755,5c17a9fbfeaf2c0001c4b19a,APPROVED,2023-04-28T16:27:51.429000Z,2023-04-28T16:31:21.635000Z,2023-04-28T18:13:49.608000,2023-04-28T16:31:26.301538Z,211,NO COMPLETION CODE,824,"Greek, English",24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644bf54e1cf94380de0bf46e,5feca808ebe59297998b5133,APPROVED,2023-04-28T16:33:23.960000Z,2023-04-28T16:43:05.969000Z,2023-04-28T18:13:44.088000,2023-04-28T16:43:18.470333Z,583,NOCODE,555,English,25,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
644bf5cf041caae35214a687,57d810f1813eb30001825b65,APPROVED,2023-04-28T16:35:32.508000Z,2023-04-28T16:42:23.587000Z,2023-04-28T18:13:44.764000,2023-04-28T16:42:34.511089Z,412,NOCODE,1964,English,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644bf70293e0e09fb56d0272,62c66885ba0578c9b5a0e4ae,APPROVED,2023-04-28T16:40:39.264000Z,2023-04-28T16:43:33.592000Z,2023-04-28T18:13:48.442000,2023-04-28T16:43:45.545126Z,175,NOCODE,1473,"English, Spanish",29,Male,White,United States,United States,United States,English,Yes,Full-Time
644bf82900ddb90ed1904b6b,63ecff4f95c294a9c2024c5a,APPROVED,2023-04-28T16:45:33.571000Z,2023-04-28T16:53:35.799000Z,2023-04-28T18:13:53.695000,2023-04-28T16:53:37.021271Z,483,NOCODE,162,English,28,Male,White,United States,United States,United States,English,No,Full-Time
644bf94417c857f34d941a1b,61086791465482e3ec238c87,APPROVED,2023-04-28T16:50:16.779000Z,2023-04-28T17:01:16.384000Z,2023-04-28T18:13:47.539000,2023-04-28T17:01:42.886044Z,660,NOCODE,2837,English,22,Female,White,United States,United States,United States,English,Yes,Part-Time
